method,k,seed,inertia,iterations,silhouette,runtime
random,3,0,374.3859968565502,11,0.40085457456179296,0.0017899089871207252
random,3,1,374.59995276332586,22,0.40689619211234224,0.003859945005387999
random,3,2,374.4336283929615,8,0.40168103855900394,0.001316057998337783
random,3,3,374.39316080554187,14,0.40111831279660515,0.002250735997222364
random,3,4,374.59995276332586,15,0.40689619211234224,0.0024548549990868196
random,3,5,374.59995276332586,22,0.40689619211234224,0.004486591991735622
random,3,6,374.59995276332586,15,0.40689619211234224,0.0031064130016602576
random,3,7,374.3859968565502,10,0.40085457456179296,0.0017533729987917468
random,3,8,374.39316080554187,7,0.40111831279660515,0.0011537029931787401
random,3,9,374.39316080554187,12,0.40111831279660515,0.0019622580002760515
random,3,10,374.59995276332586,11,0.40689619211234224,0.001745338988257572
random,3,11,374.59995276332586,11,0.40689619211234224,0.001827731990488246
random,3,12,374.59995276332586,11,0.40689619211234224,0.0019085879903286695
random,3,13,374.39316080554187,27,0.40111831279660515,0.006421758997021243
random,3,14,374.39316080554187,11,0.40111831279660515,0.0018897609988925979
random,3,15,374.39316080554187,12,0.40111831279660515,0.001971182005945593
random,3,16,374.39316080554187,13,0.40111831279660515,0.002084065999952145
random,3,17,374.39316080554187,13,0.40111831279660515,0.0021626460074912757
random,3,18,374.59995276332586,11,0.40689619211234224,0.0021025179885327816
random,3,19,374.39316080554187,30,0.40111831279660515,0.004581788001814857
random,3,20,374.39316080554187,10,0.40111831279660515,0.00181790700298734
random,3,21,374.39316080554187,26,0.40111831279660515,0.004117468008189462
random,3,22,374.3859968565502,13,0.40085457456179296,0.002270908997161314
random,3,23,374.3993774873905,8,0.4013322877216997,0.0012660799984587356
random,3,24,374.3859968565502,10,0.40085457456179296,0.0021239729976514354
random,3,25,374.59995276332586,14,0.40689619211234224,0.002600256004370749
random,3,26,374.59995276332586,8,0.40689619211234224,0.0014079840038903058
random,3,27,374.59995276332586,26,0.40689619211234224,0.004123592996620573
random,3,28,374.39316080554187,12,0.40111831279660515,0.0022302610013866797
random,3,29,374.39316080554187,11,0.40111831279660515,0.0017983030120376498
random,5,0,260.38138196572595,16,0.35874546382342476,0.003829467998002656
random,5,1,252.82962742745377,14,0.32433029009621034,0.0027002540009561926
random,5,2,253.5296901210206,14,0.31115417071287516,0.0027924049936700612
random,5,3,249.4667507054287,15,0.33133392525444116,0.0029755540017504245
random,5,4,245.6937827687616,24,0.3312974974537472,0.0054699320025974885
