method,k,seed,inertia,iterations,silhouette,runtime
random,3,0,431.78178164515646,17,0.382058584324242,0.0033015759981935844
random,3,1,430.3127726813391,11,0.3950589715803187,0.0022294230002444237
random,3,2,430.8095693438658,17,0.3862539887349027,0.002928504007286392
random,3,3,431.3883681405606,18,0.39410465422138957,0.0032517920044483617
random,3,4,430.7581806265543,11,0.38289085967306685,0.0019202709954697639
random,3,5,431.78178164515646,13,0.382058584324242,0.0025721830024849623
random,3,6,431.74652181848677,9,0.38637711972844013,0.001587661012308672
random,3,7,430.7427346930301,19,0.3823660131137265,0.004273746002581902
random,3,8,431.74652181848677,14,0.38637711972844013,0.0030327979911817238
random,3,9,431.7385089451153,11,0.3846994250164617,0.001878152004792355
random,3,10,430.42824458991817,16,0.3980161960482732,0.0031370710057672113
random,3,11,431.78178164515646,11,0.382058584324242,0.0021687360131181777
random,3,12,430.90821069844606,21,0.3808386157628845,0.0035714539990294725
random,3,13,431.78178164515646,10,0.382058584324242,0.0016873679996933788
random,3,14,431.3883681405606,18,0.39410465422138957,0.0036818599910475314
random,3,15,431.78178164515646,13,0.382058584324242,0.0021899270068388432
random,3,16,430.7581806265543,13,0.38289085967306685,0.002395499002886936
random,3,17,431.78178164515646,16,0.382058584324242,0.0027196450100746006
random,3,18,430.8095693438658,16,0.3862539887349027,0.002679985002032481
random,3,19,430.8095693438658,12,0.3862539887349027,0.002059588994598016
random,3,20,431.7385089451153,11,0.3846994250164617,0.0019333569944137707
random,3,21,430.84295066929894,12,0.3840870607089446,0.0020333749998826534
random,3,22,430.84295066929894,29,0.3840870607089446,0.00618807299179025
random,3,23,430.8095693438658,16,0.3862539887349027,0.0028510519914561883
random,3,24,431.7392388333875,15,0.3857081260913945,0.0025189570005750284
random,3,25,430.84295066929894,34,0.3840870607089446,0.00730245299928356
random,3,26,431.7385089451153,9,0.3846994250164617,0.001636636006878689
random,3,27,431.7385089451153,10,0.3846994250164617,0.03195395099464804
random,3,28,431.7392388333875,14,0.3857081260913945,0.003860728000290692
random,3,29,461.3539833166774,13,0.28152272944802775,0.0027587179938564077
random,5,0,254.00520677264396,28,0.36490993669621846,0.006315956998150796
random,5,1,268.0643936699755,23,0.31251486732046996,0.005385985990869813
random,5,2,254.00520677264396,41,0.36490993669621846,0.00965430999349337
random,5,3,254.00520677264396,26,0.36490993669621846,0.005952438994427212
random,5,4,270.1485138313876,15,0.31708020246444957,0.003008704006788321
random,5,5,265.15647497360067,22,0.36657723383003876,0.005526438006199896
random,5,6,253.6660009884992,16,0.38262186964377637,0.0031670939933974296
random,5,7,265.1385227528229,27,0.3660218297452659,0.005521170009160414
random,5,8,270.1627449222946,15,0.3191461214537673,0.003932136009098031
random,5,9,265.1385227528229,29,0.3660218297452659,0.00788212098996155
random,5,10,253.65982194556398,20,0.3894360550791709,0.004734832997201011
random,5,11,272.77189366882595,18,0.3306626217201551,0.004357893005362712
random,5,12,254.26235143127428,12,0.3680385989991579,0.002511322993086651
random,5,13,270.15301003357405,15,0.3166527150484574,0.003697576990816742
random,5,14,270.1485138313876,13,0.31708020246444957,0.0027290350117255002
random,5,15,253.55603887150073,21,0.38420268620924425,0.004335132995038293
random,5,16,265.14145715343227,13,0.366115273635676,0.0025787219929043204
random,5,17,254.00520677264396,31,0.36490993669621846,0.0063934049976523966
random,5,18,254.00520677264396,26,0.36490993669621846,0.005052670006989501
random,5,19,270.15301003357405,15,0.3166527150484574,0.002931690003606491
random,5,20,253.6660009884992,26,0.38262186964377637,0.005359773000236601
random,5,21,265.1396200263351,19,0.365964602468349,0.0047682839940534905
random,5,22,265.1385227528229,27,0.3660218297452659,0.005918175011174753
random,5,23,270.1565071661228,13,0.3199534929046358,0.002740170995821245
random,5,24,253.6786311053193,19,0.38170418025703373,0.004517918001511134
random,5,25,253.55603887150073,24,0.38420268620924425,0.00583865400403738
random,5,26,284.0319791392256,9,0.36158615316207626,0.0021504729957086965
random,5,27,253.91568917437394,10,0.3649432214476075,0.002074934003758244
random,5,28,265.2509874309686,19,0.3664315753462716,0.004039166000438854
random,5,29,270.15321300645303,16,0.3170564472796423,0.004233947998727672
random,8,0,169.1090868571112,16,0.3356549222128839,0.00449500500690192
random,8,1,167.69776518424703,30,0.34881819850707896,0.007982461000210606
random,8,2,167.5162615934266,22,0.35004342046747444,0.007113738000043668
random,8,3,173.21133847832922,15,0.35039705883799727,0.004540099005680531
random,8,4,169.5861614266347,20,0.34459979518146,0.005644641991239041
random,8,5,168.83681024301708,22,0.33285861160048236,0.006411583992303349
random,8,6,168.59003059532998,17,0.3307699506993796,0.006206343998201191
random,8,7,170.20392603302102,26,0.31710313213986113,0.009343708996311761
random,8,8,168.66068174374476,25,0.32982217319401647,0.007161178000387736
random,8,9,169.42189888666366,19,0.3196645669574068,0.007256443001097068
random,8,10,167.65023963654374,27,0.34805875170066736,0.007383648000541143
random,8,11,167.39510211419173,19,0.34940806166765787,0.006344291992718354
random,8,12,167.52543024914286,30,0.3492152705387539,0.009566841996274889
random,8,13,153.50194917436843,41,0.36264148672619617,0.010963086999254301
random,8,14,169.5861614266347,22,0.34459979518146,0.006369159003952518
random,8,15,168.37746913750522,29,0.32759728045252656,0.009292656992329285
random,8,16,171.0341824909783,26,0.3269556558925456,0.006971528986468911
random,8,17,175.07793310567928,11,0.2976440666201763,0.002902570995502174
random,8,18,168.2433501355864,15,0.3294256950684899,0.004045416004373692
random,8,19,170.31870362604639,23,0.3152494143541286,0.006313203004538082
random,8,20,168.9361422475871,23,0.3438230116311502,0.00660926999989897
random,8,21,171.0341824909783,17,0.3269556558925456,0.007315376991755329
random,8,22,170.23017881012174,48,0.3526035673077966,0.015154034001170658
random,8,23,167.66926410693912,19,0.34838879964579067,0.005294682996463962
random,8,24,168.67473437960828,13,0.34621241149643206,0.0040141799981938675
random,8,25,167.55486643302768,21,0.34904717325766615,0.007110104997991584
random,8,26,168.547771226757,23,0.32389540476134143,0.007146438991185278
random,8,27,174.43433873045313,23,0.3569443769914536,0.0074196410132572055
random,8,28,168.1265329774416,19,0.3376125570111423,0.005946613993728533
random,8,29,168.63777230449634,12,0.3460262412043693,0.0034751239873003215
kmeans++,3,0,431.78178164515646,12,0.382058584324242,0.003169952004100196
kmeans++,3,1,431.3883681405606,13,0.39410465422138957,0.0033549869986018166
kmeans++,3,2,430.42824458991817,9,0.3980161960482732,0.0016524419916095212
kmeans++,3,3,442.5494767613831,13,0.4330556054236194,0.0022336069960147142
kmeans++,3,4,430.7427346930301,22,0.3823660131137265,0.003990975004853681
kmeans++,3,5,432.96553208796456,9,0.3898402342101545,0.0015622270002495497
kmeans++,3,6,431.7385089451153,11,0.3846994250164617,0.0025833490071818233
kmeans++,3,7,430.7427346930301,16,0.3823660131137265,0.0030799870000919327
kmeans++,3,8,430.2972107167493,7,0.3967309405282826,0.0012696100020548329
kmeans++,3,9,431.3883681405606,20,0.39410465422138957,0.0033357310021528974
kmeans++,3,10,431.3883681405606,20,0.39410465422138957,0.003259258999605663
kmeans++,3,11,431.36271211966925,5,0.39308673139224093,0.001079851994290948
kmeans++,3,12,430.2972107167493,19,0.3967309405282826,0.0032121970143634826
kmeans++,3,13,431.3883681405606,21,0.39410465422138957,0.0033102710003731772
kmeans++,3,14,431.3883681405606,23,0.39410465422138957,0.003692939004395157
